segment,minutes_after_0843_start_approx,index_start_approx,minutes_after_0843_end_approx,index_end_approx
0,0.297029702970297,1101.4929149797572,0.31683168316831684,1101.4929149797572
1,0.31683168316831684,1101.4929149797572,0.33663366336633666,1101.4929149797572
2,0.33663366336633666,1101.4929149797572,0.3564356435643564,1101.4929149797572
3,0.3564356435643564,1101.4929149797572,0.37623762376237624,1101.4929149797572
4,0.37623762376237624,1101.4929149797572,0.39603960396039606,1101.4929149797572
5,0.39603960396039606,1101.4929149797572,0.4158415841584158,1101.4929149797572
6,0.4158415841584158,1101.4929149797572,0.43564356435643564,1101.4929149797572
7,0.43564356435643564,1101.4929149797572,0.45544554455445546,1101.4929149797572
8,0.45544554455445546,1101.4929149797572,0.4752475247524752,1101.4929149797572
9,0.4752475247524752,1101.4929149797572,0.49504950495049505,1101.4929149797572
10,0.49504950495049505,1101.4929149797572,0.5148514851485149,1101.4929149797572
11,0.5148514851485149,1101.4929149797572,0.5346534653465347,1101.4929149797572
12,0.5346534653465347,1101.4929149797572,0.5544554455445545,1101.4929149797572
13,0.5544554455445545,1101.4929149797572,0.5742574257425742,1101.4929149797572
14,0.5742574257425742,1101.4929149797572,0.594059405940594,1101.4929149797572
15,0.594059405940594,1101.4929149797572,0.6138613861386139,1101.4929149797572
16,0.6138613861386139,1101.4929149797572,0.6336633663366337,1101.4929149797572
17,0.6336633663366337,1101.4929149797572,0.6534653465346535,1101.4929149797572
18,0.6534653465346535,1101.4929149797572,0.6732673267326733,1101.4929149797572
19,0.6732673267326733,1101.4929149797572,0.693069306930693,1101.4929149797572
20,0.693069306930693,1101.4929149797572,0.7128712871287128,1101.4929149797572
21,0.7128712871287128,1101.4929149797572,0.7326732673267327,1101.4929149797572
22,0.7326732673267327,1101.4929149797572,0.7524752475247525,1101.4929149797572
23,0.7524752475247525,1101.4929149797572,0.7722772277227723,1101.4929149797572
24,0.7722772277227723,1101.4929149797572,0.7920792079207921,1101.4929149797572
25,0.7920792079207921,1101.4929149797572,0.8118811881188119,1101.4929149797572
26,0.8118811881188119,1101.4929149797572,0.8316831683168316,1101.4929149797572
27,0.8316831683168316,1101.4929149797572,0.8514851485148515,1101.4929149797572
28,0.8514851485148515,1101.4929149797572,0.8712871287128713,1101.4929149797572
29,0.8712871287128713,1101.4929149797572,0.8910891089108911,1101.4929149797572
30,0.8910891089108911,1101.4929149797572,0.9108910891089109,1101.4929149797572
31,0.9108910891089109,1101.4929149797572,0.9306930693069307,1101.4929149797572
32,0.9306930693069307,1101.4929149797572,0.9504950495049505,1101.4929149797572
33,0.9504950495049505,1101.4929149797572,0.9702970297029703,1101.4929149797572
34,0.9702970297029703,1101.4929149797572,0.9900990099009901,1101.4929149797572
35,0.9900990099009901,1101.4929149797572,1.00990099009901,1101.5156882591093
36,1.00990099009901,1101.5156882591093,1.0297029702970297,1101.5156882591093
37,1.0297029702970297,1101.5156882591093,1.0495049504950495,1101.4929149797572
38,1.0495049504950495,1101.4929149797572,1.0693069306930694,1101.4929149797572
39,1.0693069306930694,1101.4929149797572,1.0891089108910892,1101.4929149797572
40,1.0891089108910892,1101.4929149797572,1.108910891089109,1101.4929149797572
41,1.108910891089109,1101.4929149797572,1.1287128712871286,1101.4929149797572
42,1.1287128712871286,1101.4929149797572,1.1485148514851484,1101.4929149797572
43,1.1485148514851484,1101.4929149797572,1.1683168316831682,1101.4929149797572
44,1.1683168316831682,1101.4929149797572,1.188118811881188,1101.4929149797572
45,1.188118811881188,1101.4929149797572,1.2079207920792079,1101.4929149797572
46,1.2079207920792079,1101.4929149797572,1.2277227722772277,1101.4929149797572
47,1.2277227722772277,1101.4929149797572,1.2475247524752475,1101.4929149797572
48,1.2475247524752475,1101.4929149797572,1.2673267326732673,1101.4929149797572
49,1.2673267326732673,1101.4929149797572,1.2871287128712872,1101.4929149797572
50,1.2871287128712872,1101.4929149797572,1.306930693069307,1101.4929149797572
51,1.306930693069307,1101.4929149797572,1.3267326732673268,1101.4929149797572
52,1.3267326732673268,1101.4929149797572,1.3465346534653466,1101.4929149797572
53,1.3465346534653466,1101.4929149797572,1.3663366336633664,1101.4701417004048
54,1.3663366336633664,1101.4701417004048,1.386138613861386,1101.4701417004048
55,1.386138613861386,1101.4701417004048,1.4059405940594059,1101.4701417004048
56,1.4059405940594059,1101.4701417004048,1.4257425742574257,1101.4473684210527
57,1.4257425742574257,1101.4473684210527,1.4455445544554455,1101.4473684210527
58,1.4455445544554455,1101.4473684210527,1.4653465346534653,1101.4245951417004
59,1.4653465346534653,1101.4245951417004,1.4851485148514851,1101.4245951417004
60,1.4851485148514851,1101.4245951417004,1.504950495049505,1101.4245951417004
61,1.504950495049505,1101.4245951417004,1.5247524752475248,1101.4018218623482
62,1.5247524752475248,1101.4018218623482,1.5445544554455446,1101.4018218623482
63,1.5445544554455446,1101.4018218623482,1.5643564356435644,1101.4018218623482
64,1.5643564356435644,1101.4018218623482,1.5841584158415842,1101.4018218623482
65,1.5841584158415842,1101.4018218623482,1.603960396039604,1101.4018218623482
66,1.603960396039604,1101.4018218623482,1.6237623762376239,1101.4018218623482
67,1.6237623762376239,1101.4018218623482,1.6435643564356435,1101.4018218623482
68,1.6435643564356435,1101.4018218623482,1.6633663366336633,1101.4018218623482
69,1.6633663366336633,1101.4018218623482,1.683168316831683,1101.4245951417004
70,1.683168316831683,1101.4245951417004,1.702970297029703,1101.4245951417004
71,1.702970297029703,1101.4245951417004,1.7227722772277227,1101.4245951417004
72,1.7227722772277227,1101.4245951417004,1.7425742574257426,1101.4473684210527
73,1.7425742574257426,1101.4473684210527,1.7623762376237624,1101.4473684210527
74,1.7623762376237624,1101.4473684210527,1.7821782178217822,1101.4701417004048
75,1.7821782178217822,1101.4701417004048,1.801980198019802,1101.4701417004048
76,1.801980198019802,1101.4701417004048,1.8217821782178218,1101.4701417004048
77,1.8217821782178218,1101.4701417004048,1.8415841584158417,1101.4701417004048
78,1.8415841584158417,1101.4701417004048,1.8613861386138615,1101.4929149797572
79,1.8613861386138615,1101.4929149797572,1.881188118811881,1101.4929149797572
80,1.881188118811881,1101.4929149797572,1.900990099009901,1101.4929149797572
81,1.900990099009901,1101.4929149797572,1.9207920792079207,1101.4929149797572
82,1.9207920792079207,1101.4929149797572,1.9405940594059405,1101.4929149797572
83,1.9405940594059405,1101.4929149797572,1.9603960396039604,1101.4929149797572
84,1.9603960396039604,1101.4929149797572,1.9801980198019802,1101.4929149797572
85,1.9801980198019802,1101.4929149797572,2.0,1101.4929149797572
86,2.0,1101.4929149797572,2.01980198019802,1101.4701417004048
87,2.01980198019802,1101.4701417004048,2.0396039603960396,1101.4929149797572
88,2.0396039603960396,1101.4929149797572,2.0594059405940595,1101.4929149797572
