asset,source_chapters,status,reason
figures/master-loop.svg,index.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/decision-loop.svg,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/decision-making-according-to-behavioral-evidence.svg,chapters/01-how-decisions-should-be-made-and-how-they-actually-are.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/attention-filter.svg,chapters/03-attention-what-becomes-evidence.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/sensory-worlds-illustrated.png,chapters/03-attention-what-becomes-evidence.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/recognition-two-tone.png,chapters/04-the-predictive-mind-perception-is-inference.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/context-b13-demonstration.svg,chapters/04-the-predictive-mind-perception-is-inference.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/duck-rabbit-context.svg,chapters/04-the-predictive-mind-perception-is-inference.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/perception-context-lab.svg,chapters/04-the-predictive-mind-perception-is-inference.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/traffic-light-color-context.svg,chapters/04-the-predictive-mind-perception-is-inference.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/judgment-and-decision-making-according-to-predictive-processing.svg,chapters/04-the-predictive-mind-perception-is-inference.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/recognition-grayscale-reveal.png,chapters/04-the-predictive-mind-perception-is-inference.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
figures/expectation-loop.svg,chapters/05-expectations-when-predictions-become-causes.qmd,NOT_APPLICABLE,"Diagram, illustration, activity, or photograph without a quantitative y-axis title"
