study,estimate,standard_error,z_value,p_value_two_sided,visible_under_rule
1,0.3350865637932574,0.2,1.675432818966287,0.09384934192462766,False
2,0.24883227364650623,0.2,1.244161368232531,0.2134401786703034,False
3,0.439889331583746,0.2,2.1994466579187297,0.027846178100893033,True
4,0.3847427973151563,0.2,1.9237139865757815,0.054390443900901836,False
5,0.4093353162406452,0.2,2.0466765812032257,0.040689850120252065,True
6,0.06430267898549974,0.2,0.3215133949274987,0.7478213629927476,False
7,-0.09386863696613734,0.2,-0.4693431848306867,0.6388243519950874,False
8,0.009528060385733061,0.2,0.04764030192866531,0.962002912183906,False
9,0.10954100719184906,0.2,0.5477050359592452,0.5838944536727713,False
10,0.6120872085047937,0.2,3.0604360425239685,0.0022101495929445067,True
11,0.3038056428882992,0.2,1.519028214441496,0.12875539423053617,False
12,-0.21385021914960262,0.2,-1.069251095748013,0.28495654046383695,False
13,0.3263833874682841,0.2,1.6319169373414204,0.10269698546854256,False
14,0.6706977724984589,0.2,3.353488862492294,0.0007979962530425366,True
15,-0.028719033398065863,0.2,-0.14359516699032931,0.8858201572874451,False
16,0.1177824433216223,0.2,0.5889122166081114,0.5559201621380903,False
17,0.24910400975278668,0.2,1.2455200487639333,0.21294065059408745,False
18,-0.037052074789509615,0.2,-0.18526037394754807,0.853024816989523,False
19,0.4594864022909908,0.2,2.297432011454954,0.021594137397092893,True
20,0.1323189329785681,0.2,0.6615946648928404,0.5082310276227546,False
21,0.29865034898467135,0.2,1.4932517449233567,0.135371301783714,False
22,0.05883392435320839,0.2,0.29416962176604194,0.7686282924877881,False
23,0.14108119948295955,0.2,0.7054059974147977,0.48055761277346337,False
24,0.0955449488292814,0.2,0.477724744146407,0.6328461303385089,False
25,-0.030071072437258373,0.2,-0.15035536218629186,0.8804842566626887,False
26,-0.20225229746276252,0.2,-1.0112614873138126,0.31189129371939317,False
27,0.6376497911897423,0.2,3.1882489559487115,0.0014313724075548713,True
28,0.03333101177606074,0.2,0.16665505888030369,0.8676414687153704,False
29,0.20399995049362,0.2,1.0199997524681,0.30772857814092985,False
30,0.3766797201532762,0.2,1.883398600766381,0.05964636984317137,False
31,0.2966469215222461,0.2,1.4832346076112304,0.1380120893895775,False
32,0.059811492426480345,0.2,0.2990574621324017,0.7648962020867498,False
33,0.014068252702161888,0.2,0.07034126351080944,0.9439220402933164,False
34,0.4733096950290112,0.2,2.366548475145056,0.017954822791134563,True
35,0.31973237049977654,0.2,1.5986618524988827,0.10989575820342681,False
36,0.24042037403124306,0.2,1.2021018701562152,0.2293240618946523,False
37,0.21751089682972286,0.2,1.0875544841486142,0.2767918335172091,False
38,0.3939744868557703,0.2,1.9698724342788514,0.04885299239591085,True
39,0.4127689125433411,0.2,2.0638445627167052,0.039032456366606766,True
40,-0.1497405684430098,0.2,-0.748702842215049,0.4540363302111942,False
41,0.19822232421863709,0.2,0.9911116210931854,0.32163107905932514,False
42,0.30617256465982917,0.2,1.5308628232991457,0.12580329902521414,False
43,-0.01271001038271477,0.2,-0.06355005191357385,0.9493285040939933,False
44,0.3538492419740209,0.2,1.7692462098701045,0.07685279568323794,False
45,0.3511057677334405,0.2,1.7555288386672023,0.07916889227835969,False
46,0.2737442491168629,0.2,1.3687212455843145,0.1710864265953002,False
47,-0.02373728494470767,0.2,-0.11868642472353835,0.9055237920226955,False
48,0.18522579262262834,0.2,0.9261289631131416,0.35437896385056805,False
49,0.09911555649114707,0.2,0.49557778245573536,0.6201923312504917,False
50,0.16903775303685922,0.2,0.8451887651842961,0.3980054540528019,False
51,0.1855402340457376,0.2,0.927701170228688,0.35356260128270545,False
52,0.046540155780163905,0.2,0.23270077890081953,0.8159937643418161,False
53,0.16571566432003604,0.2,0.8285783216001802,0.40734305908945573,False
54,0.3163028393668457,0.2,1.5815141968342286,0.1137605154714669,False
55,0.11452283584553484,0.2,0.5726141792276742,0.5669059569887664,False
56,0.1559400146610843,0.2,0.7797000733054213,0.43556743569011164,False
57,0.3855622908019671,0.2,1.9278114540098352,0.0538785825048659,False
58,0.013168281866493298,0.2,0.06584140933246649,0.9475040878637534,False
59,0.22622257898746673,0.2,1.1311128949373335,0.258007577549236,False
60,0.15164330178073754,0.2,0.7582165089036876,0.44832137969101965,False
61,0.5881822670784058,0.2,2.940911335392029,0.0032724818993048843,True
62,0.27990071568156727,0.2,1.3995035784078362,0.16166202602436236,False
63,0.3897607566659629,0.2,1.9488037833298144,0.0513188617887101,False
64,0.438953783639713,0.2,2.194768918198565,0.028180178145673224,True
65,0.4030987210923385,0.2,2.0154936054616925,0.043852955403189724,True
66,-0.08032577481353514,0.2,-0.4016288740676757,0.6879571767041315,False
67,0.3059336105229732,0.2,1.5296680526148658,0.12609891526377584,False
68,0.20818121142117774,0.2,1.0409060571058886,0.2979191502834417,False
69,-0.15800087487975628,0.2,-0.7900043743987814,0.4295252136497338,False
70,0.03003585427223754,0.2,0.1501792713611877,0.8806231794687106,False
71,-0.040429407254730876,0.2,-0.20214703627365438,0.8398017771858131,False
72,-0.029577368820109806,0.2,-0.14788684410054903,0.8824320709248406,False
73,0.25035746638851986,0.2,1.2517873319425992,0.21064736740198176,False
74,0.09919643579421465,0.2,0.4959821789710732,0.6199069843548446,False
75,0.20286368632820076,0.2,1.0143184316410037,0.31043083184570935,False
76,-0.10675636319378684,0.2,-0.5337818159689341,0.5934924960132049,False
77,0.02341121092988377,0.2,0.11705605464941884,0.9068156335642114,False
78,0.11890622082791845,0.2,0.5945311041395922,0.552156944948971,False
79,0.6246838197014082,0.2,3.123419098507041,0.0017876300219236332,True
80,0.43921841525143734,0.2,2.1960920762571865,0.02808535362632171,True
81,-0.04481083944564643,0.2,-0.22405419722823214,0.8227151317462894,False
82,0.5820171297402055,0.2,2.910085648701027,0.003613297226516092,True
83,0.25448516883321215,0.2,1.2724258441660607,0.20322185638720064,False
84,0.4525280073086167,0.2,2.2626400365430834,0.023657887992456328,True
85,0.22962531177082182,0.2,1.148126558854109,0.2509163215880174,False
86,0.17134268840648986,0.2,0.8567134420324493,0.3916032726306156,False
87,0.2021672859325857,0.2,1.0108364296629284,0.3120947240230722,False
88,0.3587449082080223,0.2,1.7937245410401115,0.07285714625518472,False
89,0.09675784892851427,0.2,0.48378924464257134,0.6285354488660833,False
90,0.2865212409118261,0.2,1.4326062045591306,0.15197040761875333,False
91,0.4481105823342969,0.2,2.240552911671484,0.025055049773652634,True
92,-0.052001367928591,0.2,-0.260006839642955,0.7948584977280923,False
93,-0.15098513803152053,0.2,-0.7549256901576026,0.45029357034672,False
94,-0.1144778718301675,0.2,-0.5723893591508374,0.5670582231319728,False
95,0.23146073893714797,0.2,1.1573036946857398,0.24714830456578055,False
96,0.21743132720715275,0.2,1.0871566360357636,0.27696759149068934,False
97,-0.03667488909787017,0.2,-0.18337444548935086,0.8545042254231081,False
98,0.35155083727755404,0.2,1.7577541863877701,0.07878934360799515,False
99,0.4563289359181618,0.2,2.281644679590809,0.02251032660134612,True
100,0.0020041272180488234,0.2,0.010020636090244117,0.992004822977876,False
101,0.2332270007910314,0.2,1.166135003955157,0.24355986610452127,False
102,0.24860689982832937,0.2,1.2430344991416469,0.21385512082161026,False
103,0.0015729636674320646,0.2,0.007864818337160323,0.9937248475673038,False
104,0.2644401655579041,0.2,1.3222008277895205,0.1861012855150149,False
105,0.495519210177316,0.2,2.47759605088658,0.013227080153593819,True
106,0.048059290235305724,0.2,0.24029645117652862,0.8101004459799953,False
107,0.3408899799801378,0.2,1.704449899900689,0.08829706828468104,False
108,-0.18323702090541483,0.2,-0.9161851045270741,0.3595698167347495,False
109,0.033784823781075474,0.2,0.16892411890537737,0.8658563276761776,False
110,0.48111296835666206,0.2,2.40556484178331,0.01614748610628047,True
111,0.4956900009764358,0.2,2.4784500048821787,0.0131954602411361,True
112,0.045905372763666824,0.2,0.22952686381833412,0.8184594435699342,False
113,-0.13508263169174167,0.2,-0.6754131584587083,0.49941330778116816,False
114,-0.008153968595678629,0.2,-0.040769842978393145,0.9674793811782111,False
115,0.07679197495633339,0.2,0.38395987478166693,0.7010081875112506,False
116,0.19095995584036962,0.2,0.9547997792018481,0.33967895909009604,False
117,-0.24929149376152554,0.2,-1.2464574688076275,0.21259649421599583,False
118,0.3024470246297925,0.2,1.5122351231489624,0.13047405879461335,False
119,0.14133105903637957,0.2,0.7066552951818978,0.4797807172622669,False
120,0.3611680569768039,0.2,1.8058402848840194,0.07094329088331405,False
121,0.41041053215941203,0.2,2.05205266079706,0.04016454487485249,True
122,-0.14307691955411944,0.2,-0.7153845977705972,0.4743714271030694,False
123,-0.07831260270233648,0.2,-0.3915630135116824,0.6953811208620975,False
124,0.2198216839504112,0.2,1.099108419752056,0.2717207777910191,False
125,0.46137889248134606,0.2,2.30689446240673,0.021060704321483777,True
126,0.2656505856925476,0.2,1.328252928462738,0.18409456442267697,False
127,-0.043059417884205586,0.2,-0.21529708942102793,0.8295356987281501,False
128,0.18187587134608627,0.2,0.9093793567304312,0.36314991462781643,False
129,0.15170094703689022,0.2,0.758504735184451,0.44814887936989123,False
130,-0.0028953316308591437,0.2,-0.014476658154295718,0.9884497014077455,False
131,-0.09579882872737555,0.2,-0.47899414363687776,0.6319427949120857,False
132,0.542541623148892,0.2,2.71270811574446,0.006673586076564505,True
133,0.059887228420696575,0.2,0.29943614210348285,0.764607289041162,False
134,0.10655974977911749,0.2,0.5327987488955874,0.594172899991163,False
135,0.11728229205302187,0.2,0.5864114602651094,0.5575990447864996,False
136,0.34400818763816954,0.2,1.7200409381908477,0.08542500034766037,False
